#,company,url,hq_city,emp,notable_clients,buyer_role,hook_1,hook_2,hook_3,conf
1,Mother,motherlondon.com,New York (+London),250,"Uber, Stella Artois, Ikea",ECD,Launched Mother Design in-house AI/prototyping studio,"Beer, beauty, retail",Vocally independent; founders have criticized holdco homogenization,H
2,Joan Creative,joancreative.com,New York,80,"Netflix, EOS, Rimmel",Co-founder/CCO (Jaime Robinson),Robinson has publicly discussed generative AI in creative process,"Beauty, streaming",First female-founded indie holdco; strong DEI public posture,H
3,Venables Bell & Partners,venablesbell.com,San Francisco,150,"Chipotle, Audi, Girl Scouts, AG1",ECD,Independent since 2001; tests AI across Audi work,"Auto, CPG, wellness","""Honest, Fearless and Independent"" stated credo",H
4,Erich & Kallman,erich-kallman.com,San Francisco,60,"Toyota, Amazon, Hershey, King's Hawaiian, Impossible",Founder/President (Steve Erich),Erich has publicly discussed indie-vs-holdco AI race in trade press,"CPG food, auto",Ad Age 2024 Small Agency of the Year,H
5,Cutwater,cutwateragency.com,San Francisco,50,"SF Bay Coffee, Mini Cooper (historical), Levi's",Founder/CCO (Chuck McBride),Known for craft-forward film production,"CPG food & bev, auto",McBride ex-TBWA\Chiat; pro-craft stance,H
6,The VIA Agency,theviaagency.com,"Portland, ME",65,"Perdue, Unilever, L.L. Bean",President (Scott MacLeod),Employee-owned; Ad Age Small Agency of the Year,"CPG food, outdoor",Employee ownership model,H
7,Mischief @ No Fixed Address,wearemischief.com,New York,120,"Tubi, MGM Resorts, Kraft Heinz",Co-founder/CCO (Greg Hahn),Adweek 2025 U.S. Agency of the Year,"CPG, hospitality, streaming",Indie-proud; partners with No Fixed Address (Toronto),H
8,Special US,specialgroup.com,"Venice, CA",70,"Uber Eats, Netflix, Poppi, BJ's",Co-founder/CCO (Dave Horton),"Super Bowl regulars; Uber Eats ""Don't Forget"" viral","CPG bev, streaming",Independent-network model (AU/NZ/US/UK/JP),H
9,Known,known.is,New York,350,"GM, Amazon Prime, Roblox",Chief Creative,"Built proprietary AI+data platform ""Skeptic""","Auto, entertainment, tech",Adweek 2025 Midsize Agency of the Year,H
10,Wieden+Kennedy,wk.com,"Portland, OR",~300 NY+POR creative,"Nike, Ford, McDonald's, Coors Light",ECD,"In-house AI/production lab ""WK Studios""","Sportswear, auto, QSR",Famously independent; Dan Wieden legacy,H
11,Preacher,preacher.co,"Austin, TX",60,"Shiner, Texas Lottery, Seton",ECD,Known for craft film; scrappy Austin shop,"CPG bev, lifestyle",Founder-led; Southern indie voice,M
12,Giant Spoon,giantspoon.com,New York,200,"GE, Amazon, HBO, Netflix",Co-founder/Partner,Cannes Grand Prix for Westworld activation,"Tech, entertainment",Founder-led; immersive craft focus,H
13,Translation,translationllc.com,New York,150,"State Farm, Beats, Brooklyn Nets",Founder/CEO (Steve Stoute),Culture-first brand house; AI music work,"CPG, sports, fintech",Black-founded; strong cultural/DEI voice,H
14,Majority,wearemajority.com,Brooklyn,40,"Ben & Jerry's, Mailchimp",Founder/CCO (Omid Farhang),Multicultural indie,"CPG, SaaS",Majority-Black-owned; mission-driven,M
