#,handle,platform,followers,notable_work,dm_hook
1,@PJaccetturo (PJ Ace),X,~600K,"""Pepperoni Hug Spot"" Trump pizza ad parody; fast-food-style parodies","The ""Pepperoni Hug Spot"" lands because the family looks like the same family across 12 shots — would love to know how much was you re-rolling vs accepting drift"
2,@MartinHaerlin,X,~80K,"""The Heist"" + noir spec shorts","Your noir grade is the most consistent thing in AI right now; the protagonist in The Heist actually looks like the same person in shot 1 and shot 14, which is rare"
3,@daveclarkbrand (Dave Clark / Borderline),X,~250K,"Borderline studio output; ""Jailbreak"" series concepts",Borderline's tone-control is the tell — when you posted the Jailbreak teaser the lead reads as the same actor across the trailer beats. (Verify he's still personally on DMs.)
4,@pixelsoup_ai (Pixel Soup),YouTube,~120K,Animated AI shorts with recurring stylized aesthetic,"Pixel Soup's recurring rounded-character look is the kind of thing a roster could lock — your last short kept the silhouette consistent but the face drifted, which is the exact problem"
6,@JBigsh0t,X,~40K,"Branded-parody spec ads, fake commercials",The fake-product spots only work because the spokesperson reads as one person across 8 cuts — would love to see what you'd do with a pre-cast character roster
22,@karenxcheng,IG,~700K,"Brand AI experiments, viral try-on reels","Your brand experiments are the public benchmark for ""could AI run an actual ad campaign"" — Cast is built for the brand-spot motion specifically. Edge-of-too-big — different motion."
23,@nicolasneubert,X,~250K,"""Genesis"" trailer; Westworld-style AI trailers",Genesis is still the reference everyone points to — would love to know if a pre-cast character roster would have saved you the re-roll cycles on the lead
30,@curiousrefuge / @calebward,YouTube,~600K,Curious Refuge AI Film school + own showcase shorts,"Caleb — your students are 10× more frustrated by character drift than anything else in the curriculum. Would love to put a Cast roster in front of CR Film School. **(Partnership motion, not pure DM.)**"
31,@heather_cooper,X,~140K,AI Insider newsletter + experimental clips,Heather — your weekly roundup is where AI filmmakers find each other; would love to brief you on Cast for inclusion. **(Press/curator motion.)**
33,@vfxpaul (Paul Trillo or similar),X,~150K,Music video and commercial AI work; Runway residency,Your Runway residency work is the gold-standard reference — I'd love to see what you'd do with a pre-cast roster on a narrative piece. **Verify exact handle.**
37,@minchoi,X,~600K,AI showcase threads + own short clips,"Min — would love Cast included in a ""this week in AI cinema"" thread when we launch the public roster. **(Press/curator motion, not creator-DM.)**"
39,@niceaunties,IG,~700K,"The ""aunties"" recurring character universe","Your ""aunties"" universe is the literal proof-of-concept for Cast's whole pitch — you've solved character recurrence by hand. We're trying to give that to creators who haven't yet. Edge-of-too-big — verify reply rate."
44,@uncannyharry,X,~200K,Celebrity-pastiche AI shorts (deepfake-adjacent but original characters),Your parodies that use original characters (not celebrity-likenesses) are the ones that scale — Cast's whole roster is rights-clean original characters built for exactly that. **Verify handle.**
46,@fabian_stelzer,X,~80K,Salt + GLAS interactive AI films,Your interactive AI films are a different beast but the character-recurrence problem still hits — curious if a pre-cast roster would speed up new episodes
48,@bilawal_sidhu,X,~250K,Tech commentary + own AI clips,Your own clips have grown a recurring visual register — would love to brief you on Cast both as a creator and for the newsletter. **(Hybrid press/creator motion.)**
