#,company,url,hq_city,est_revenue_range,category,buyer_role,personalization_hook_1,personalization_hook_2,personalization_hook_3
1,Olipop,drinkolipop.com,"Oakland, CA",$200M+,food & bev,VP Brand / Creative Director,Retro-soda aesthetic social push with heavy nostalgia-era creative; Poppi rivalry content,Heavy UGC + influencer seeding; diverse casting leaning Gen-Z/millennial,Founder Ben Goodwin publicly bullish on content velocity; no stated AI stance
2,Poppi,drinkpoppi.com,"Austin, TX",$200M+,food & bev,Head of Brand,Super Bowl LVIII vending-machine influencer campaign drew controversy + virality,"Founder Allison Ellsworth is the face; influencer-heavy, polished UGC",Post-Pepsi acquisition pivot; creative team rebuilding — good timing
3,Liquid Death,liquiddeath.com,"Los Angeles, CA",$200M+,food & bev,Creative Director (Andy Pearson),"""Pit Your Face"" and ongoing heavy-metal parody campaigns","Uses pro actors + musicians, stylized horror aesthetic, almost no UGC",Known for bold creative stunts; plausible early AI adopter
4,Graza,graza.co,"Brooklyn, NY",$10-50M,food & bev,Co-founder / Head of Brand,Squeeze-bottle olive oil green/yellow recipe reels dominating food TikTok,Chef-forward + food-creator casting; not heavy on human-face talent,No public AI stance; visual brand could benefit from synthetic product scenes
5,Fishwife,fishwifetinnedfish.com,"Los Angeles, CA",$10-50M,food & bev,Founder (Becca Millstein),"Tinned-fish renaissance, collab drops (Fly By Jing, Omsom)","Founder-led casting, artist-illustrated packaging over human talent",No AI commentary; illustration-heavy aesthetic — candidate for AI character extension
6,Omsom,omsom.com,"New York, NY",$10-50M,food & bev,Co-founder (Vanessa/Kim Pham),"Proud-AAPI founder storytelling, pantry-starter launches",Founder-face brand; diverse AAPI casting baked into identity,No AI stance; authenticity-first — harder sell but worth a pitch
7,Magic Spoon,magicspoon.com,"New York, NY",$50-200M,food & bev,Creative Director,"Retro-cereal nostalgia creative, licensed crossover (Dunkin', Cookie Monster)",Stylized illustration + set design; light on human casting,Co-founder Gabi Lewis active on X about creative ops; open to tooling
8,Jeni's Splendid Ice Creams,jenis.com,"Columbus, OH",$50-200M,food & bev,VP Marketing,Monthly flavor drops with editorial-style content,Founder Jeni Britton is on-camera; diverse team-member casting,No AI stance; strong craft/authenticity ethos
9,Partake Foods,partakefoods.com,"Jersey City, NJ",$10-50M,food & bev,Founder (Denise Woodard),"Allergen-free cookie expansion, Target endcap campaigns","Founder-led; Black-woman-founder narrative, diverse family casting",No AI commentary
10,Ghia,drinkghia.com,"Los Angeles, CA",$10-50M,food & bev,Founder (Melanie Masarin),"Non-alc apéritif, Mediterranean-sunset aesthetic across all channels","Aspirational lifestyle casting, Euro-glam, mixed ethnicities",Visually identity-driven brand — strong AI synthetic-scene candidate
